iter	Passed	Remaining
0	133	133569
1	135	67522
2	136	45310
3	136	34106
4	137	27375
5	138	22891
6	138	19684
7	139	17277
8	139	15407
9	140	13942
10	141	12716
11	142	11694
12	142	10827
13	143	10086
14	143	9442
15	145	8930
16	146	8455
17	146	8011
18	147	7612
19	148	7252
20	148	6926
21	149	6631
22	149	6361
23	150	6113
24	150	5887
25	151	5676
26	152	5481
27	152	5299
28	153	5130
29	153	4973
30	154	4826
31	154	4688
32	155	4558
33	156	4435
34	156	4320
35	157	4211
36	157	4108
37	158	4016
38	159	3940
39	160	3854
40	161	3770
41	161	3691
42	162	3614
43	163	3541
44	163	3471
45	164	3404
46	164	3340
47	165	3279
48	165	3219
49	166	3163
50	167	3109
51	167	3056
52	168	3005
53	168	2956
54	169	2909
55	169	2864
56	170	2820
57	171	2780
58	171	2741
59	172	2703
60	173	2665
61	174	2640
62	175	2604
63	175	2570
64	176	2536
65	176	2503
66	177	2471
67	178	2440
68	178	2410
69	179	2381
70	179	2352
71	180	2325
72	180	2298
73	181	2271
74	182	2245
75	182	2220
76	183	2196
77	183	2172
78	184	2149
79	185	2129
80	185	2107
81	186	2086
82	186	2062
83	187	2042
84	187	2022
85	188	2005
86	189	1991
87	190	1975
88	191	1964
89	192	1949
90	193	1931
91	194	1914
92	194	1897
93	195	1881
94	195	1864
95	196	1848
96	196	1832
97	197	1817
98	197	1801
99	198	1788
100	199	1774
101	199	1760
102	200	1746
103	201	1732
104	201	1719
105	202	1705
106	202	1692
107	204	1687
108	204	1675
109	205	1662
110	206	1650
111	206	1638
112	207	1626
113	207	1614
114	208	1603
115	208	1592
116	209	1579
117	209	1569
118	210	1558
119	211	1548
120	211	1537
121	212	1526
122	212	1516
123	213	1507
124	213	1497
125	214	1488
126	214	1477
127	215	1468
128	216	1459
129	216	1450
130	217	1441
131	217	1432
132	219	1428
133	219	1420
134	220	1411
135	220	1403
136	221	1395
137	222	1387
138	222	1379
139	223	1371
140	223	1363
141	224	1354
142	224	1346
143	225	1339
144	225	1332
145	226	1324
146	227	1317
147	227	1311
148	228	1304
149	229	1297
150	229	1291
151	230	1284
152	230	1277
153	231	1271
154	232	1265
155	232	1259
156	233	1254
157	234	1252
158	235	1246
159	236	1240
160	236	1233
161	237	1227
162	237	1220
163	238	1214
164	238	1209
165	239	1203
166	240	1197
167	240	1191
168	241	1185
169	241	1181
170	242	1175
171	243	1170
172	243	1165
173	244	1159
174	244	1154
175	245	1149
176	246	1143
177	246	1138
178	247	1133
179	247	1128
180	249	1126
181	249	1122
182	250	1117
183	250	1112
184	251	1107
185	251	1102
186	252	1097
187	253	1092
188	253	1088
189	254	1083
190	254	1078
191	255	1074
192	255	1069
193	256	1066
194	257	1063
195	259	1062
196	260	1060
197	260	1056
198	261	1052
199	262	1048
200	262	1044
201	263	1042
202	264	1038
203	265	1034
204	265	1030
205	266	1026
206	266	1022
207	267	1018
208	268	1014
209	268	1010
210	269	1006
211	269	1002
212	270	999
213	271	995
214	271	991
215	272	987
216	272	984
217	273	980
218	273	976
219	274	972
220	275	969
221	275	965
222	276	962
223	276	958
224	277	954
225	277	951
226	279	951
227	280	948
228	280	945
229	281	942
230	281	938
231	282	935
232	283	932
233	283	928
234	284	927
235	286	926
236	286	923
237	287	920
238	287	916
239	288	913
240	289	910
241	289	907
242	290	904
243	290	901
244	291	897
245	291	894
246	292	891
247	293	890
248	294	888
249	295	885
250	295	882
251	296	879
252	296	876
253	297	873
254	297	870
255	298	867
256	299	864
257	299	861
258	300	858
259	300	856
260	301	853
261	301	850
262	302	847
263	303	844
264	303	842
265	304	839
266	304	836
267	305	834
268	306	831
269	306	828
270	307	826
271	307	823
272	308	822
273	309	820
274	310	817
275	310	815
276	311	812
277	311	809
278	312	807
279	313	805
280	313	802
281	314	800
282	314	797
283	315	795
284	316	792
285	316	790
286	317	787
287	317	785
288	318	783
289	318	780
290	319	778
291	320	775
292	320	773
293	321	771
294	321	768
295	322	766
296	322	764
297	324	763
298	325	762
299	325	760
300	326	758
301	327	756
302	327	754
303	328	751
304	329	749
305	329	747
306	330	745
307	330	743
308	331	740
309	331	738
310	332	736
311	333	734
312	333	732
313	334	729
314	334	727
315	335	725
316	335	723
317	336	721
318	336	719
319	337	717
320	338	716
321	339	714
322	340	712
323	340	710
324	341	709
325	342	707
326	342	705
327	343	703
328	343	701
329	344	699
330	344	697
331	345	695
332	346	693
333	346	691
334	347	689
335	347	687
336	348	685
337	348	683
338	349	681
339	349	679
340	350	677
341	351	675
342	351	673
343	352	671
344	352	669
345	353	668
346	354	666
347	354	665
348	355	663
349	356	661
350	356	659
351	357	657
352	357	656
353	358	654
354	359	652
355	359	650
356	360	648
357	360	646
358	361	645
359	361	643
360	362	641
361	363	639
362	363	638
363	364	636
364	364	634
365	365	632
366	365	631
367	366	629
368	367	627
369	367	626
370	369	625
371	370	625
372	370	623
373	371	621
374	372	620
375	372	618
376	373	616
377	373	615
378	374	613
379	374	611
380	375	610
381	376	608
382	376	606
383	377	605
384	377	603
385	378	601
386	378	600
387	379	598
388	380	597
389	380	595
390	381	593
391	381	592
392	382	590
393	383	590
394	384	589
395	385	588
396	388	589
397	389	588
398	389	587
399	390	585
400	390	583
